time,output,direct,diffuse,temperature
01-01-12 0:00,0,0,0,16.129
01-01-12 1:00,0,0,0,15.814
01-01-12 2:00,0,0,0,15.542
01-01-12 3:00,0.01,0,0.027,15.634
01-01-12 4:00,0.121,0.027,0.116,16.723
01-01-12 5:00,0.291,0.157,0.166,18.306
01-01-12 6:00,0.499,0.42,0.149,21.036
01-01-12 7:00,0.635,0.599,0.155,23.641
01-01-12 8:00,0.716,0.704,0.172,25.39
01-01-12 9:00,0.737,0.716,0.196,26.466
01-01-12 10:00,0.727,0.697,0.205,27.117
01-01-12 11:00,0.662,0.59,0.217,27.319
01-01-12 12:00,0.573,0.477,0.207,27.25
01-01-12 13:00,0.431,0.302,0.201,26.834
01-01-12 14:00,0.26,0.127,0.174,26.192
01-01-12 15:00,0.118,0.041,0.104,25.491
01-01-12 16:00,0.006,0,0.023,23.379
01-01-12 17:00,0,0,0,20.905
01-01-12 18:00,0,0,0,19.248
01-01-12 19:00,0,0,0,18.167
01-01-12 20:00,0,0,0,17.364
01-01-12 21:00,0,0,0,16.762
01-01-12 22:00,0,0,0,16.304
01-01-12 23:00,0,0,0,15.921
02-01-12 0:00,0,0,0,15.526
02-01-12 1:00,0,0,0,15.08
02-01-12 2:00,0,0,0,14.591
02-01-12 3:00,0,0,0.026,14.674
02-01-12 4:00,0.129,0.083,0.069,17.6
02-01-12 5:00,0.345,0.306,0.082,21.102
02-01-12 6:00,0.535,0.532,0.093,24.244
02-01-12 7:00,0.665,0.696,0.111,26.33
02-01-12 8:00,0.731,0.773,0.137,27.712
02-01-12 9:00,0.762,0.813,0.15,28.606
02-01-12 10:00,0.78,0.858,0.138,29.136
02-01-12 11:00,0.698,0.7,0.169,29.063
02-01-12 12:00,0.504,0.337,0.261,28.256
02-01-12 13:00,0.366,0.18,0.245,27.254
02-01-12 14:00,0.265,0.136,0.171,26.259
02-01-12 15:00,0.112,0.032,0.106,24.889
02-01-12 16:00,0.006,0,0.022,22.873
02-01-12 17:00,0,0,0,21.24
