date_time,GHI,DNI,DHI,TEMP
2-23-14 0:00,0,0,0,22.52
2-23-14 1:00,0,0,0,22.29
2-23-14 2:00,0,0,0,21.91
2-23-14 3:00,0,0,0,21.6
2-23-14 4:00,0,0,0,21.31
2-23-14 5:00,0,0,0,21.27
2-23-14 6:00,0.145,0,0.148,21.17
2-23-14 7:00,45.78,27.67,28.11,20.91
2-23-14 8:00,263.7,545.2,63.08,21.69
2-23-14 9:00,484.2,799.6,69.97,22.46
2-23-14 10:00,682.3,875,76.53,23.35
2-23-14 11:00,834,905,83.5,24.81
2-23-14 12:00,934,919,88.3,26.37
2-23-14 13:00,970,927,88.5,27.54
2-23-14 14:00,939,922,88,28.01
2-23-14 15:00,847,909,84.2,28.55
2-23-14 16:00,694.3,857,87.4,28.37
2-23-14 17:00,483.8,685.4,117.7,27.91
2-23-14 18:00,244,453.1,92.5,27.12
2-23-14 19:00,42.57,33.93,36.09,26.33
2-23-14 20:00,0.279,0,0.275,25.67
2-23-14 21:00,0,0,0,25.4
2-23-14 22:00,0,0,0,25.18
2-23-14 23:00,0,0,0,24.91
2-24-14 0:00,0,0,0,24.54
2-24-14 1:00,0.042,0,0,24.26
2-24-14 2:00,0,0,0,24.39
2-24-14 3:00,0,0,0,24.32
2-24-14 4:00,0,0,0,23.62
2-24-14 5:00,0,0.018,0,23.7
2-24-14 6:00,0.01,0,0.015,23.11
2-24-14 7:00,6.066,0.001,6.148,22.48
2-24-14 8:00,63.16,38.81,48.18,22.14
2-24-14 9:00,331.9,150.9,257.5,22.4
2-24-14 10:00,482.8,127.4,394.2,22.96
2-24-14 11:00,668.5,349.7,375.7,24.66
2-24-14 12:00,233.1,13.68,222.8,24.4
2-24-14 13:00,105.4,0.568,105.6,22.52
2-24-14 14:00,181.9,0.542,181.7,21.2
2-24-14 15:00,215.2,2.508,213.4,21.74
2-24-14 16:00,235.2,3.081,233.3,22.17
2-24-14 17:00,133.4,0.241,133.7,21.64
2-24-14 18:00,89.3,0.719,89.3,20.62
2-24-14 19:00,32.67,8.02,32.16,20.44
2-24-14 20:00,0.294,0,0.324,20.86
2-24-14 21:00,0,0,0,20.33
2-24-14 22:00,0,0,0,20
2-24-14 23:00,0,0,0,19.85
2-25-14 0:00,0,0,0,19.61
2-25-14 1:00,0,0,0,19.68
2-25-14 2:00,0,0,0,19.51
2-25-14 3:00,0,0,0,19.42
2-25-14 4:00,0,0,0,19.65
2-25-14 5:00,0,0,0,19.45
2-25-14 6:00,0.031,0,0.035,19.36
2-25-14 7:00,45.51,101.1,28.21,19.47
2-25-14 8:00,258.7,524.7,90.9,20.38
2-25-14 9:00,491.8,783.1,91.8,21.7
2-25-14 10:00,691.5,840,114.4,23.02
2-25-14 11:00,704.8,559.2,246.3,23.97
2-25-14 12:00,923,814,183.2,25.39
2-25-14 13:00,764.3,508.9,286.9,26.46
2-25-14 14:00,759.4,448.6,354.4,26.24
2-25-14 15:00,846,865,128.9,27.33
2-25-14 16:00,701.9,853,109,27.66
2-25-14 17:00,316.6,116.5,254,26.98
2-25-14 18:00,134.2,0.656,135,25.75
2-25-14 19:00,48.97,80.5,36.52,25.25
2-25-14 20:00,0.047,0,0.061,24.15
2-25-14 21:00,0,0,0,23.57
2-25-14 22:00,0,0,0,22.69
2-25-14 23:00,0,0,0,22.29
2-26-14 0:00,0,0,0,22.38
2-26-14 1:00,0,0,0,22.11
2-26-14 2:00,0,0,0,21.94
2-26-14 3:00,0,0,0,21.47
2-26-14 4:00,0,0,0,21
2-26-14 5:00,0,0,0,20.78
2-26-14 6:00,0.47,0,0.301,20.9
2-26-14 7:00,54.03,83,38.27,21.46
2-26-14 8:00,257.1,631,58.21,21.96
2-26-14 9:00,475.2,806,66.01,22.66
2-26-14 10:00,677.2,887,70.98,23.93
2-26-14 11:00,835,927,73.73,24.92
2-26-14 12:00,937,952,70.83,26.37
2-26-14 13:00,977,965,68.99,27.47
2-26-14 14:00,942,953,72.59,28.18
2-26-14 15:00,844,935,70.49,27.91
2-26-14 16:00,690.5,900,65.49,27.94
2-26-14 17:00,490.5,828,60.17,27.5
2-26-14 18:00,248,632.7,47.7,26.76
2-26-14 19:00,61.17,301.5,21.12,25.71
2-26-14 20:00,0.048,0,0.06,24.49
2-26-14 21:00,0,0,0,23.57
2-26-14 22:00,0,0,0,23.02
2-26-14 23:00,0,0,0,22.77
2-27-14 0:00,0,0,0,22.44
2-27-14 1:00,0,0,0,21.96
2-27-14 2:00,0,0,0,21.65
2-27-14 3:00,0,0,0,21.37
2-27-14 4:00,0,0,0,21.21
2-27-14 5:00,0,0,0,21
2-27-14 6:00,0.023,0,0.022,20.8
2-27-14 7:00,41.7,137.9,19.83,20.71
2-27-14 8:00,250.4,666.9,48.13,21.15
2-27-14 9:00,480.8,807,62.82,22.02
2-27-14 10:00,682.7,873,72.22,22.82
2-27-14 11:00,841,927,69.19,24.11
2-27-14 12:00,941,948,69.89,25.11
2-27-14 13:00,977,960,70.14,26.01
2-27-14 14:00,944,953,71.75,26.91
2-27-14 15:00,847,930,72.99,27.29
2-27-14 16:00,689.9,889,69.43,27.06
2-27-14 17:00,487.6,814,64.19,26.56
2-27-14 18:00,239.2,600.3,52.77,25.84
2-27-14 19:00,58.9,259,23.11,24.79
2-27-14 20:00,0.03,0,0.039,23.54
2-27-14 21:00,0,0,0,22.69
2-27-14 22:00,0,0,0,22.23
2-27-14 23:00,0,0,0,21.84
2-28-14 0:00,0,0,0,21.63
2-28-14 1:00,0,0,0,21.5
2-28-14 2:00,0,0,0,21.44
2-28-14 3:00,0,0,0,21.21
2-28-14 4:00,0,0,0,21.13
2-28-14 5:00,0,0,0,21.03
2-28-14 6:00,0.019,0,0.016,20.65
2-28-14 7:00,42.56,119.7,22.78,20.42
2-28-14 8:00,236.7,578.7,58.7,20.91
2-28-14 9:00,463.5,745.2,74.03,21.87
2-28-14 10:00,665.9,833,78.37,23.01
2-28-14 11:00,823,880,80.6,24.01
2-28-14 12:00,922,902,81.1,24.85
2-28-14 13:00,859,702.1,184.6,25.73
2-28-14 14:00,818,603.3,258.2,25.9
2-28-14 15:00,607.6,453.2,217.7,26.58
2-28-14 16:00,247,4.749,244.9,25.42
2-28-14 17:00,125.7,0.503,126.2,24.59
2-28-14 18:00,35.32,0.006,35.54,23.98
2-28-14 19:00,4.941,0,5.069,24.06
2-28-14 20:00,0,0,0,23.52
2-28-14 21:00,0,0,0,23.17
2-28-14 22:00,0,0,0,23.2
2-28-14 23:00,0,0,0,23.03
03-01-14 0:00,0,0,0,22.76
03-01-14 1:00,0,0.009,0,22.22
03-01-14 2:00,0,0,0,21.14
03-01-14 3:00,0,0,0,20.84
03-01-14 4:00,0,0,0,20.76
03-01-14 5:00,0,0,0,20.81
03-01-14 6:00,0.001,0,0.002,20.75
03-01-14 7:00,35.67,44.87,29.34,20.73
03-01-14 8:00,101,88.8,69.45,21.08
03-01-14 9:00,419.5,542.3,142.6,22.79
03-01-14 10:00,725.7,792.7,177.6,24.93
03-01-14 11:00,821,809,152.9,26.39
03-01-14 12:00,611.2,223.6,403.7,26.35
03-01-14 13:00,961,910,99.1,27.17
03-01-14 14:00,928,906,95.9,27.15
03-01-14 15:00,832,892,89.1,26.86
03-01-14 16:00,674.9,794.5,122.3,26.18
03-01-14 17:00,474.2,766,75.75,25.43
03-01-14 18:00,238.3,512.8,62.13,24.4
03-01-14 19:00,45.36,178.6,24.7,22.72
03-01-14 20:00,0.017,0,0.028,21.42
03-01-14 21:00,0,0,0,20.92
03-01-14 22:00,0,0,0,20.93
03-01-14 23:00,0,0,0,21
03-02-14 0:00,0,0,0,20.88
03-02-14 1:00,0,0,0,20.72
03-02-14 2:00,0,0,0,21.04
03-02-14 3:00,0,0,0,20.94
03-02-14 4:00,0,0,0,20.83
03-02-14 5:00,0,0,0,20.58
03-02-14 6:00,0.006,0,0.008,20.12
03-02-14 7:00,43.03,157.5,19.77,19.85
03-02-14 8:00,240.1,629.7,49.03,20.66
03-02-14 9:00,462.1,785.4,61.09,22.11
03-02-14 10:00,664.9,875,65.77,23.23
03-02-14 11:00,825,916,70.45,24.86
03-02-14 12:00,928,943,68.79,26.1
03-02-14 13:00,968,957,66.67,27.34
03-02-14 14:00,924,933,71.14,28.68
03-02-14 15:00,824,907,73.24,29.65
03-02-14 16:00,666,865,70.22,29.89
03-02-14 17:00,462.1,786.3,62.78,30.42
03-02-14 18:00,225.8,539.8,50.15,29.98
03-02-14 19:00,40.99,243.1,17.91,28.78
03-02-14 20:00,0,0,0,26.4
03-02-14 21:00,0,0,0,24.9
03-02-14 22:00,0,0,0,23.13
03-02-14 23:00,0,0,0,22.81
03-03-14 0:00,0,0,0,22.95
03-03-14 1:00,0,0,0,22.55
03-03-14 2:00,0,0,0,22.14
03-03-14 3:00,0,0,0,21.74
03-03-14 4:00,0,0,0,21.18
03-03-14 5:00,0,0,0,20.9
03-03-14 6:00,0.01,0,0.009,20.82
03-03-14 7:00,23.95,5.847,23.29,20.56
03-03-14 8:00,98.5,0.188,98.7,20.77
03-03-14 9:00,201.2,0.973,201.2,21.3
03-03-14 10:00,291.1,3.445,289.9,22.14
03-03-14 11:00,355.1,1.371,355.1,22.61
03-03-14 12:00,483.9,4.13,482.1,23.55
03-03-14 13:00,392.2,2.196,392,24.04
03-03-14 14:00,206.1,0.477,206.8,23.12
03-03-14 15:00,165.1,0.454,165.8,22.5
03-03-14 16:00,319.1,13.96,310.6,22.54
03-03-14 17:00,167.6,0.581,168.2,22.48
03-03-14 18:00,59.43,0.17,59.72,21.4
03-03-14 19:00,10.68,0,10.88,20.56
03-03-14 20:00,0.041,0,0.033,20.14
03-03-14 21:00,0,0,0,19.66
03-03-14 22:00,0,0,0,19.27
03-03-14 23:00,0,0,0,19.18
03-04-14 0:00,0,0,0,18.98
03-04-14 1:00,0,0,0,19.09
03-04-14 2:00,0,0,0,18.95
03-04-14 3:00,0,0,0,18.98
03-04-14 4:00,0,0,0,19.01
03-04-14 5:00,0,0,0,19.33
03-04-14 6:00,0.169,0,0.014,19.46
03-04-14 7:00,4.95,0,4.939,20.04
03-04-14 8:00,37.34,0,37.42,20.32
03-04-14 9:00,70.22,0,70.34,20.6
03-04-14 10:00,143.8,0.407,144,20.89
03-04-14 11:00,314,1.328,313.8,21.42
03-04-14 12:00,247.4,0.737,247.7,21.86
03-04-14 13:00,309.6,1.046,308.9,22.04
03-04-14 14:00,397.7,1.462,397.1,22.7
03-04-14 15:00,266.7,0.961,267.1,22.84
03-04-14 16:00,208.5,0.84,209.1,22.88
03-04-14 17:00,188.9,0.831,189.6,22.87
03-04-14 18:00,93.1,0.418,93.6,22.71
03-04-14 19:00,25.35,0.024,25.58,22.44
03-04-14 20:00,0,0,0,22.18
03-04-14 21:00,0,0,0,22.09
03-04-14 22:00,0,0,0,21.88
03-04-14 23:00,0,0,0,21.67
03-05-14 0:00,0,0,0,21.54
03-05-14 1:00,0,0,0,21.44
03-05-14 2:00,0,0,0,21.31
03-05-14 3:00,0,0,0,21.22
