Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2015-08-01 00:10:00, WM01, 2.8601, 2.3902, 3.3214, 0.1956, 2.8482, 2.3903, 3.3224, 0.2144, 2.4511, 2.0932, 3.0237, 0.2109, 2.6141, 2.0731, 3.3282, 0.2968, 2.2984, 0.8243, 3.0273, 0.4834, 118.53, 114.93, 123.83, 3.403, 106.53, 101.23, 109.63, 3.558, 12.07, 11.73, 12.22, 0.1084, 3.849, 3.364, 4.385, 0.283, 1005.0, 1004.9, 1005.1, 0.0365, 59.71, 58.81, 62.12, 0.7465, 
2015-08-01 00:20:00, WM01, 2.6087, 2.0797, 3.011, 0.2074, 2.6171, 2.0796, 3.0117, 0.2094, 2.6788, 2.0932, 3.3729, 0.2146, 2.7389, 2.0731, 3.3677, 0.2234, 2.2229, 1.139, 3.0273, 0.4695, 106.63, 103.53, 117.63, 4.597, 99.43, 92.73, 110.83, 6.399, 11.76, 11.6, 12.07, 0.1013, 3.217, 2.637, 3.911, 0.357, 1005.0, 1005.0, 1005.2, 0.0361, 61.15, 59.73, 62.13, 0.5467, 
2015-08-01 00:30:00, WM01, 2.5162, 2.0797, 3.011, 0.2328, 2.5021, 1.7689, 3.0117, 0.2386, 2.4747, 2.0932, 3.0237, 0.245, 2.7634, 2.0731, 3.3282, 0.2472, 2.6918, 2.0831, 3.0273, 0.1913, 113.63, 111.53, 118.73, 2.983, 109.83, 105.63, 119.53, 4.38, 11.88, 11.75, 12.09, 0.0705, 2.351, 1.225, 3.62, 0.893, 1005.0, 1004.8, 1005.0, 0.052, 59.72, 57.41, 60.63, 0.851, 
2015-08-01 00:40:00, WM01, 2.4572, 2.0797, 3.011, 0.2248, 2.3238, 1.7689, 2.701, 0.238, 2.1106, 1.7831, 2.4034, 0.1929, 2.4045, 1.7594, 3.0144, 0.3389, 2.4482, 1.7684, 3.0273, 0.2965, 99.03, 85.43, 118.13, 9.61, 107.93, 93.23, 116.13, 7.082, 12.87, 11.91, 13.34, 0.3832, 2.263, 1.297, 3.292, 0.586, 1004.9, 1004.8, 1005.0, 0.0492, 52.72, 49.51, 59.22, 2.197, 
2015-08-01 00:50:00, WM01, 2.8012, 2.0797, 3.6319, 0.4663, 2.4785, 1.1475, 3.6331, 0.6587, 2.3742, 1.7831, 3.0237, 0.245, 2.6141, 2.0731, 3.0144, 0.2115, 2.9247, 2.3979, 3.342, 0.2883, 78.33, 61.63, 85.73, 8.7, 93.03, 87.93, 95.63, 2.849, 13.25, 12.83, 13.62, 0.2494, 2.664, 2.456, 3.037, 0.173, 1004.8, 1004.6, 1004.9, 0.0498, 51.85, 48.01, 55.46, 2.328, 
2015-08-01 01:00:00, WM01, 2.2784, 1.4589, 3.3214, 0.3849, 2.1001, 0.8368, 3.3224, 0.5555, 2.3643, 1.7831, 3.0237, 0.312, 2.7465, 2.0731, 3.3282, 0.278, 3.1091, 2.3979, 3.6567, 0.2939, 64.63, 61.63, 67.43, 2.582, 90.73, 87.93, 92.23, 1.583, 14.1, 13.39, 14.49, 0.2998, 3.623, 2.819, 4.056, 0.389, 1004.7, 1004.6, 1004.8, 0.0407, 45.4, 42.88, 50.09, 2.038, 
2015-08-01 01:10:00, WM01, 2.6137, 1.4589, 3.3214, 0.4309, 2.668, 1.4582, 3.6331, 0.4822, 2.2452, 1.473, 2.7135, 0.2959, 2.5846, 1.7594, 3.3282, 0.3797, 2.4451, 1.139, 3.342, 0.5728, 61.93, 61.73, 62.83, 0.332, 90.73, 82.33, 92.13, 1.828, 13.55, 13.05, 13.94, 0.2648, 4.792, 3.764, 5.375, 0.579, 1004.7, 1004.6, 1004.8, 0.0438, 47.09, 44.89, 50.3, 1.466, 
2015-08-01 01:20:00, WM01, 2.839, 2.3902, 3.6319, 0.2868, 2.4835, 1.1475, 3.6331, 0.5561, 2.3383, 1.473, 3.0237, 0.2531, 2.1654, 1.4456, 2.7006, 0.3332, 1.8144, 0.8243, 2.3979, 0.3537, 66.53, 62.43, 76.13, 4.281, 82.63, 81.53, 90.33, 2.613, 12.71, 11.96, 13.51, 0.4635, 5.37, 4.715, 5.999, 0.447, 1004.6, 1004.5, 1004.8, 0.072, 51.98, 47.18, 57.41, 3.293, 
2015-08-01 01:30:00, WM01, 3.3835, 2.3902, 4.2527, 0.4135, 3.3211, 2.0796, 4.2545, 0.4841, 3.0348, 1.7831, 3.644, 0.459, 2.9579, 2.0731, 3.6419, 0.3884, 2.9014, 1.7684, 3.6567, 0.4475, 80.43, 66.23, 88.13, 8.18, 96.43, 90.13, 102.33, 4.688, 12.54, 11.94, 13.03, 0.2695, 4.246, 3.583, 4.825, 0.41, 1004.5, 1004.4, 1004.6, 0.0428, 51.49, 47.97, 56.01, 1.887, 
2015-08-01 01:40:00, WM01, 3.1805, 2.7006, 3.6319, 0.2682, 3.2416, 2.701, 3.9438, 0.3082, 3.0472, 2.4034, 3.644, 0.2779, 2.7885, 2.0731, 3.6419, 0.3351, 2.812, 2.0831, 3.342, 0.3002, 89.93, 85.63, 93.13, 2.388, 92.53, 92.23, 97.63, 1.038, 13.37, 12.85, 13.74, 0.2861, 4.16, 3.801, 4.568, 0.229, 1004.4, 1004.3, 1004.5, 0.059, 46.7, 44.76, 51.15, 1.642, 
